1,22,5
1,76,5
1,91,5
1,107,5
1,111,4
1,157,5
1,200,5
1,321,3
1,423,4
1,454,5
1,662,4
1,668,5
1,678,5
1,757,4
1,863,5
1,910,4
1,965,5
1,990,4
1,994,5
1,1009,5
1,1024,5
1,1099,5
1,1142,5
1,1201,5
1,1214,4
1,1220,4
1,1234,3
1,1265,5
1,1282,4
1,1296,3
1,1415,2
1,1474,4
1,1559,4
1,1560,5
1,1561,5
1,1645,5
1,1739,4
1,1823,5
1,1837,4
1,1839,4
1,1873,4
1,1880,4
1,1888,4
1,1971,4
1,1972,4
1,1992,4
1,2008,4
1,2057,4
1,2107,4
1,2183,4
1,2201,4
1,2226,5
1,2291,5
1,2315,4
1,2375,5
1,2404,4
1,2443,5
1,2455,4
1,2467,4
1,2513,5
1,2551,5
1,2634,5
1,2722,4
1,2830,5
1,2900,5
1,2908,5
1,2967,5
1,2989,5
1,3006,4
1,3027,5
1,3126,5
1,3145,5
1,3163,5
1,3166,4
1,3184,5
1,3207,4
1,3344,5
1,3364,4
1,3410,4
1,3413,5
1,3472,4
1,3498,5
1,3501,4
1,3556,5
1,3663,3
1,3672,5
1,3683,5
1,3718,5
1,3875,5
1,3892,5
1,3936,5
2,25,2
2,40,5
2,41,3
2,76,3
2,81,5
2,123,1
2,200,2
2,210,5
2,290,5
2,296,3
2,319,1
2,320,5
2,352,5
2,357,1
2,375,3
2,385,2
2,387,3
2,407,2
2,453,3
2,486,3
2,514,4
2,517,1
2,546,1
2,564,5
2,598,2
2,609,3
2,653,4
2,654,2
2,660,3
2,715,2
2,794,1
2,837,5
2,839,3
2,849,2
2,851,4
2,858,4
2,883,3
2,951,5
2,965,2
2,970,5
2,982,1
2,994,5
2,1001,4
2,1008,3
2,1071,4
2,1086,2
2,1134,3
2,1144,2
2,1161,2
2,1188,5
2,1257,3
2,1276,3
2,1280,3
2,1305,2
2,1319,3
2,1324,5
2,1369,5
2,1385,2
2,1406,1
2,1407,2
2,1415,5
2,1468,5
2,1552,5
2,1572,2
2,1635,3
2,1637,3
2,1659,1
2,1689,1
2,1701,4
2,1710,5
2,1746,5
2,1778,5
2,1808,5
2,1860,3
2,1872,1
2,1891,5
2,1903,4
2,1915,5
2,1933,3
2,1979,3
2,1980,3
2,1990,2
2,1999,3
2,2038,3
2,2066,2
2,2075,3
2,2091,3
2,2112,5
2,2122,4
2,2132,3
2,2147,2
2,2178,5
2,2220,5
2,2253,3
2,2254,4
2,2265,5
2,2369,4
2,2375,3
2,2430,4
2,2445,3
2,2460,3
2,2484,3
2,2488,3
2,2496,2
2,2504,3
2,2518,3
2,2559,3
2,2585,2
2,2588,5
2,2663,3
2,2669,3
2,2676,4
2,2737,4
2,2748,5
2,2759,2
2,2787,1
2,2810,3
2,2830,2
2,2908,2
2,2983,2
2,3001,1
2,3057,5
2,3105,2
2,3126,2
2,3157,3
2,3158,5
2,3184,1
2,3200,2
2,3269,2
2,3289,2
2,3308,3
2,3324,5
2,3363,5
2,3373,3
2,3377,2
2,3401,2
2,3512,2
2,3514,2
2,3694,4
2,3708,5
2,3723,3
2,3772,2
2,3810,2
2,3811,2
2,3875,3
2,3892,5
2,3918,2
3,91,3
3,226,5
3,621,4
3,883,4
3,1088,5
3,1146,4
3,1306,3
3,1368,4
3,1453,4
3,1466,3
3,1554,4
3,1690,4
3,1741,4
3,1809,3
3,1823,3
3,2159,3
3,2215,5
3,2226,4
3,2283,3
3,2546,3
3,2693,4
3,2993,5
3,3200,4
3,3324,3
3,3463,3
3,3773,4
4,1407,4
4,1788,3
4,3328,3
4,3498,4
4,3501,5
5,56,5
5,350,5
5,406,4
5,442,5
5,483,5
