UserId,ItemId,Rating
4,2,4
4,28,4
4,39,4
4,46,5
4,128,4
4,146,4
4,157,5
4,376,4
4,378,4
4,488,4
4,590,4
4,642,4
4,821,4
4,955,4
4,1212,4
4,1338,4
4,1396,5
4,1662,5
4,1743,4
4,2168,5
4,2528,5
4,2633,5
4,2706,4
4,2848,4
4,2916,5
4,2978,4
4,3053,4
4,3117,5
4,3291,4
4,3378,4
4,3398,4
4,3413,4
4,3518,5
4,3675,4
4,3712,4
4,3885,4
4,3915,4
11,19,5
11,94,5
11,300,5
11,547,4
11,620,5
11,789,5
11,859,5
11,1338,5
11,1443,5
11,1463,5
11,1725,5
11,2068,5
11,2134,4
11,2812,5
11,2814,5
11,3285,4
11,3348,5
11,3471,5
14,9,4
14,26,5
14,71,5
14,164,5
14,176,5
14,194,4
14,227,5
14,232,5
14,258,4
14,263,4
14,270,5
14,275,4
14,324,5
14,358,5
14,363,5
14,377,5
14,388,5
14,397,4
14,412,4
14,429,4
14,443,4
14,449,4
14,459,5
14,508,4
14,513,4
14,531,4
14,547,5
14,556,4
14,575,4
14,615,5
14,626,5
14,637,4
14,638,4
14,649,5
14,662,4
14,665,4
14,677,4
14,683,4
14,689,5
14,690,4
14,837,4
14,860,4
14,868,4
14,880,4
14,889,4
14,897,4
14,928,4
14,944,4
14,975,4
14,989,4
14,1006,5
14,1032,4
14,1065,5
14,1072,5
14,1078,4
14,1083,4
14,1091,5
14,1127,4
14,1133,5
14,1147,4
14,1168,5
14,1197,4
14,1198,4
14,1216,4
14,1256,4
14,1279,4
14,1303,4
14,1344,5
14,1351,4
14,1387,4
14,1412,5
14,1434,4
14,1449,4
14,1465,5
14,1552,5
14,1576,5
14,1690,4
14,1694,5
14,1700,4
14,1724,4
14,1733,5
14,1757,4
14,1770,4
14,1788,4
14,1790,4
14,1838,4
14,1843,5
14,1853,4
14,1912,4
14,1930,5
14,1961,5
14,1985,5
14,1987,4
14,2018,5
14,2030,4
14,2064,5
14,2104,4
14,2125,4
14,2139,4
14,2179,4
14,2201,4
14,2226,4
14,2302,4
14,2324,4
14,2412,4
14,2414,5
14,2415,4
14,2461,4
14,2477,4
14,2613,4
14,2616,4
14,2630,4
14,2643,4
14,2680,4
14,2692,5
14,2698,4
14,2752,4
14,2770,4
14,2772,4
14,2818,5
14,2827,4
14,2838,4
14,2851,4
14,2916,5
14,2919,4
14,2924,4
14,2935,4
14,2939,4
14,2969,4
14,3004,4
14,3019,4
14,3058,4
14,3081,4
14,3115,4
14,3180,4
14,3186,5
14,3187,4
14,3198,4
14,3284,4
14,3292,4
14,3299,4
14,3303,5
14,3369,4
14,3398,4
14,3414,4
14,3462,4
14,3494,4
14,3503,4
14,3511,4
14,3516,5
14,3518,4
14,3533,4
14,3542,5
14,3606,5
14,3641,5
14,3675,4
14,3743,5
14,3763,4
14,3764,4
14,3832,4
14,3859,4
14,3885,4
14,3900,5
14,3919,5
14,3926,4
14,3945,4
23,232,4
23,275,4
23,366,5
23,438,5
23,495,4
23,610,4
23,638,5
23,684,5
23,689,5
23,989,4
23,1003,4
23,1344,5
23,1351,4
23,1379,5
23,1518,4
23,1695,4
23,1838,4
23,1843,5
23,1944,4
23,2008,4
23,2124,4
23,2151,4
23,2162,5
23,2202,5
23,2287,5
23,2325,5
23,2533,4
23,2621,4
23,2698,4
23,2969,4
23,2990,4
23,3004,5
23,3205,4
23,3414,5
23,3423,5
23,3533,5
23,3542,4
23,3568,4
23,3711,4
23,3733,4
23,3763,5
23,3885,4
23,3900,4
28,60,5
28,93,4
28,136,4
28,250,4
28,262,4
28,275,5
28,291,5
28,388,4
28,391,4
28,397,5
28,408,5
28,459,4
28,575,5
28,610,5
28,626,4
28,637,4
28,662,4
28,689,4
28,789,5
28,809,4
28,812,4
28,876,4
28,897,5
28,955,4
28,975,5
28,1015,4
28,1133,4
28,1190,4
28,1303,4
28,1392,5
28,1443,4
28,1449,4
28,1551,4
28,1695,4
28,1770,4
28,1801,4
28,1838,4
28,1843,5
28,1863,4
28,1875,4
28,1961,4
28,1974,4
28,1985,4
28,1996,5
28,2134,4
28,2141,5
28,2144,4
28,2151,4
28,2179,5
28,2181,4
28,2201,4
28,2414,4
28,2477,5
28,2497,4
28,2616,4
28,2623,5
28,2663,4
28,2698,5
28,2781,4
28,2851,5
28,2859,5
28,2897,4
28,2919,4
28,2924,4
28,2959,4
28,3004,5
28,3034,5
28,3163,4
28,3186,4
28,3414,5
28,3423,4
28,3460,5
28,3471,4
28,3492,4
28,3533,5
28,3542,5
28,3675,5
28,3732,4
28,3777,5
28,3778,4
28,3885,5
28,3919,4
28,3941,4
33,215,4
33,232,5
33,258,5
33,443,5
33,636,5
33,673,4
33,709,5
33,755,5
33,1003,4
33,1296,4
33,1881,4
33,1908,4
33,1947,4
33,2188,4
33,2214,4
33,2348,4
33,2389,4
33,2503,4
33,2513,5
33,2528,5
33,2663,4
33,2777,4
33,3215,4
33,3471,5
33,3551,4
33,3851,4
33,3927,5
42,176,4
42,283,4
42,324,4
42,377,4
42,391,4
42,392,4
42,429,4
42,538,4
42,586,4
42,615,4
42,655,5
42,800,5
42,868,4
42,989,5
42,1000,4
42,1112,4
42,1123,4
42,1127,4
42,1198,5
42,1276,4
42,1379,5
42,1457,4
42,1518,4
42,1578,4
42,1613,5
42,1625,4
42,1694,4
42,1758,4
42,1764,4
42,1771,4
42,1795,4
42,1846,4
42,1855,5
42,1929,5
42,1966,4
42,2031,4
42,2079,4
42,2088,5
42,2184,4
42,2202,5
42,2223,5
42,2302,5
42,2345,4
42,2399,5
42,2407,4
42,2494,4
42,2504,4
42,2568,4
